DATE,CLF16OV
2019-05-01,162803
2019-06-01,163029
2019-07-01,163472
2019-08-01,163774
2019-09-01,164015
2019-10-01,164336
2019-11-01,164434
2019-12-01,164633
2020-01-01,164479
2020-02-01,164583
2020-03-01,162764
2020-04-01,156358
2020-05-01,158122
2020-06-01,159834
2020-07-01,160015
2020-08-01,160707
2020-09-01,160153
2020-10-01,160834
2020-11-01,160539
2020-12-01,160671
2021-01-01,160184
2021-02-01,160359
2021-03-01,160631
2021-04-01,160978
2021-05-01,160801
2021-06-01,161114
2021-07-01,161375
2021-08-01,161505
2021-09-01,161471
2021-10-01,161610
2021-11-01,162126
2021-12-01,162294
2022-01-01,163687
2022-02-01,163991
2022-03-01,164409
2022-04-01,164046
2022-05-01,164376
2022-06-01,164023
2022-07-01,163960
2022-08-01,164746
2022-09-01,164689
